;text
29003;@porteno_0506 😢😢😢 Capi no te hubieras ido
28994;"Mi podio de composiciones del maestro Jairo Varela:

🥇El Amor Vendrá.
🥈Ese Día.
🥉Cómo Podré Disimular.
🎖Busca Por Dentro.
🏅Un Caso Social."
06312;"Han pasado 9 años de la partida de Jairo Varela y cada vez que escucho ""Miserable"",  mi corazón de madre se encoje al pensar en la tristeza, la rabia y la frustración que debió sentir  Varela cuando compuso esa canción."
02784;Dos veces ha dicho que quiere pillar a Dani Alves (el jugador con más títulos en la historia del fútbol, ahora mismo). Nunca había visto a Messi señalar un objetivo tan individual. Pero deja bien a las claras su ambición y su destino.
01729;@Milenio @jairocalixto 7,000,000 + 1 Jairo, yo no voté pero quiero que regresen lo robado y los metan al Tambo... El problema es la impunidad que otorga la 4aT con su inacción... Por cierto, ¿dónde está Lozoya, delincuente confeso? @FGRMexico @Coparmex @V_TrujilloM @SNietoCastillo @senadomexicano @qtf
28737;"🚨🚨YA ESTÁ AQUÍ🚨🚨
Entra a la web para descargar gratis la guía más completa sobre las 32 franquicias de la NFL que puedes encontrar en nuestro idioma y varios especiales. 
Hay diferentes versiones de descarga
#guiaSB21 
#NFL #NFLesp #NFLMX #NFLTwitter
https://t.co/tv0IPLpxac"
36132;"¡ASÍ JAIRO!💪🏾👏🏾

📸: @LigaFutProf 

#ElCorazónDelPueblo💙 https://t.co/Gl5uuKyMY1"
77188;están a tiempo de subirse al barco de Jairo https://t.co/XZFvalLqHg
88548;La combi completa https://t.co/2T2us0Bfam
97185;"UN DÍA COMO HOY...
RECORDAMOS ‼️‼️‼️
9 AÑOS SIN, 
JAIRO VARELA➕ @gruponicheoficial 
.
.
.
#Efemerides #JairoVarela
#AlejandroZuarth #SalsaYAlgoMas https://t.co/msfMGLv9tS"
01504;"Horacio Montemurro, DT @DelfinSC: A (Jhon Jairo) Cifuente no lo pude poner por un pequeño desgarro que sufrió, sino hubiera jugado. Mi intención fue atacar con 7. Pudimos haber empatado el partido. 

#LaRadioQueSiempreEstá"
09762;"Mi podio de composiciones del maestro Jairo Varela:

🥇El Amor Vendrá.
🥈Ese Día.
🥉Cómo Podré Disimular.
🎖Busca Por Dentro.
🏅Un Caso Social."
83269;"""Los domingos han matado a más hombres que muchas bombas"".

 - Charles Bukowski"
