;text
62849;Habéis cornudizado a Messi, joder, qué puto asco https://t.co/hb79bmsW8I
74179;"✍️ No supimos hacerlo y te dejamos escapar. Y perdemos todos;
❗️Los de antes por dejarnos sin aire, la liga por el conmigo o sin Messi y los de ahora por la gestión de las expectativas. 
🔵🔴 Y nosotros destrozados, de luto, desorientados e incrédulos. Sé feliz, lo mereces Lio. https://t.co/ffgPJl1BzF"
84968;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
47937;"la conexión de mirarse y saber lo que el otro necesita &gt; el famoso QUIERO SER MESSI TU MI ANTONELLA https://t.co/omRJahlcjk"
60480;@iammm_cardenas @BlazquezFont Yo haría lo mismo que se hizo con messi en 2008, le daría la 10 a Ansu Fati y el que diga que no, o es del madrid, español o no tienen idea de fútbol.....
49606;"¡Busquets recuerda a Messi tras ganar el Joan Gamper! 🔥🙏

https://t.co/C2drX3OuWh"
24193;"Que tiene que Anto le haya alcanzado un pañuelo a Messi, una vez Mayda me alcanzo el rollo de papel higienico en el baño de la casa de su abuela por que sabia que había tomado mate dulce un rato antes.

Con quien andan ustedes con Hitler, son cosas normales de parejas."
43904;"Messi y Antonella: respiran
Las cornudas: no espero menos en la vida 😭😭😭."
14020;en el medio de la conferencia, Messi le hizo esta carita a sus hijos https://t.co/iPftUjNB4M
99492;Al Messi en pedo damelo siempre https://t.co/1lSwKBueut
94915;Messi sin trabajo   /   yo con trabajo. https://t.co/FDUtuTb7JJ
02819;"Messi y Antonella: respiran
Las cornudas: no espero menos en la vida 😭😭😭."
14403;"""¿Si Barcelona hizo todo para que me quedara? No sé, pero lo que tengo claro es que yo sí hice todo lo posible para quedarme"", Messi"
68514;Aún no quiero ver la conferencia de Messi 😪
85697;"Messi dijo ""Mi último año de carrera"" y casi me infarto. Después me acordé que no pronuncia las ""S"" y me tranquilcé."
09891;Parte el alma verlo así a Messi 💔 https://t.co/Zc6LGoS7mT
62339;si no me dejas por messi te dejo yo a vos por pelotuda https://t.co/kTiex7qdmM
49955;"🚫Legalmente es imposible que Messi juegue gratis en el Barça. Bajo la ley española, cualquier nuevo contrato necesita ser de un mínimo del 50% del sueldo anterior [Colin Millar]

Ahora ya pueden dejar de decir que Laporta no hizo todo lo posible o sugerir que Messi juegue gratis https://t.co/62HX4hqFJD"
09350;Puedo amar a messi en el fútbol, pero messi como padre y esposo me derrite completamente el alma
07171;Como olvidar cuando el Barça estaba quedándose afuera de la Champions y Messi metió CUATRO goles para salvar al equipo. Jamás habrá algo igual. https://t.co/sgHGDGdnVN
83748;Brutal, elegante, impecable y claro Leo Messi. Excepcional rueda de prensa.
13125;"Messi: *llora*

Mateo: JAJA LA TENES ADENTRO MEGACABALLERO HIJO DE PUTA https://t.co/ah6JBumVu4"
08578;El jeque del PSG cuando se haga oficial el fichaje de Lionel Messi 🔥🤯 https://t.co/MV7CRqQZ3D
81957;Las miradas cómplices de Messi con sus hijos durante la conferencia. https://t.co/5GPZBzdSZL
40259;Che pero quien no lo haria si tuviera a Messi llorando en frente suyo? De hecho la Anto se quedó muy corta https://t.co/A94C36MS5l
65570;"Aquí, el camarógrafo que estaba ""llorando en el mismo instante que empezó a llorar Messi"". Definitivamente la gente se cree cualquier vaina en internet. https://t.co/6opkgj2l5A"
53542;La Portada de L'Equipe del lunes, con la espera por Lionel Messi en París, en la ciudad que ya entró en la cuenta regresiva para los próximos Juegos Olímpicos. https://t.co/2nDyTavXjr
68035;"Messi en la Ligue 1 después de meterle siete goles al Nantes en la primera parte.

https://t.co/DJwi97HKrw"
29190;"Empezó con una servilleta.
Terminó igual. 
Se despidió la leyenda Lionel Messi https://t.co/6mB7e9lOA9"
02754;"2000 | Así llegó.
2021 | Así se va.

Lionel Messi, el joven rosarino que cambió para siempre la historia de un club. https://t.co/IJsSGcwRD6"
22848;al final no era hincha del barca era hincha de messi
72034;Messi viendo a Ibai entrar en su casa: https://t.co/7ET24LkV3Z
52804;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
82624;si no me dejas por messi te dejo yo a vos por pelotuda https://t.co/kTiex7qdmM
15236;IBAI BAILANDO CON LA MADRE DEL KUN Y MESSI RIÉNDOSE https://t.co/payM6GqAyF
96225;Llora Messi y todos os conmocionáis, llora una abuela de 91 años en el deshaucio de su hogar y os hacéis los turcos. Grima es lo que dáis, mucha.
73345;Tengo el cuerpo como si me hubieran dado una paliza, cansado, aturdido, desorientado, destrozado, sin poder asimilar que Messi no volverá a jugar en el Barça... 😢💔
89388;@Leivrss @stufleei @la13miobsesion @InvictosSomos jajajajaa que tiene que ver. Estas cogidisimo por messi se nota tu dolor culo roto
65728;Me levante y lo primero que vi es a Messi llorando https://t.co/NPRyjX0WM6
10862;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
26176;Q equipazo el psg con Messi lpm
83971;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
14528;"Messi: *llora*

Mateo: JAJA LA TENES ADENTRO MEGACABALLERO HIJO DE PUTA https://t.co/ah6JBumVu4"
07265;Tan claros que ahora la Ligue 1 tendrá mayor audiencia con Messi, no?
45153;"#Deportes ENTRE LÁGRIMAS | Messi se despide del Barcelona

#EpaPSUV2021

https://t.co/1UQMnadZLl https://t.co/p2wGLzFlun"
98210;@ar_juanma Estoy segura que no, habrá Respeto porque decir que Messi no es del otro mundo es ser muy tonto, pero Hasta ahí.
22725;El PSG si llega Messi y se quedan Neymar y mbappe en los partidos de la ligue 1 https://t.co/S9X2ywhjsq
78084;al final no era hincha del barca era hincha de messi
98112;Acuéstense temprano que mañana el único que no trabaja es Messi
64771;Bueno, supongo que como Messi se fue del Barcelona toca cambiar el icon de Twitch, y es hora de facer face reveal o no? 🥵 https://t.co/Bu8P8GIBKQ
30786;"6 de Mayo del 2018: 

El Real Madrid-Barcelona en el que Cristiano Ronaldo y Lionel Messi anotaron su último gol en un clásico. Hasta en eso estaban conectados. La mayor rivalidad en la historia del fútbol. https://t.co/5R2rQCxjCx"
09254;y Messi nos vino a enseñar que por más que duela si hay que irse, hay que irse
72770;"Les ha pasado que cuando sus amigos están felices ustedes sienten alegría y cuando lloran a ustedes les da mucha tristeza? 

Bueno, a mi eso me pasa pero con Messi😭😭😭😭😭😭😭😭"
